index,sku,name,desc,in_stock,type,price,category
0,RAI0007,Silver Rain Design mStand Support,Aluminum support compatible with all MacBook,1,8696,59.99,"Charging Dock, Chargers, Stands, Supports"
1,APP0023,Apple Mac Keyboard Keypad Spanish,USB ultrathin keyboard Apple Mac Spanish.,0,13855401,59.0,"Input devices, styluses"
2,APP0025,Mighty Mouse Apple Mouse for Mac,mouse Apple USB cable.,0,1387,59.0,"Input devices, styluses"
3,APP0072,Apple Dock to USB Cable iPhone and iPod white,IPhone dock and USB Cable Apple iPod.,0,1230,25.0,Cables
4,KIN0007,Mac Memory Kingston 2GB 667MHz DDR2 SO-DIMM,2GB RAM Mac mini and iMac (2006/07) MacBook Pro (2006/07/08).,1,1364,34.99,"NAS, HDD, SSD, Memory stick and cards"
5,APP0073,Apple Composite AV Cable iPhone and iPod white,IPhone and iPod AV Cable Dock to Composite Video.,0,1230,45.0,Cables
6,KIN0009,Mac Memory Kingston 2GB 800MHz DDR2 SO-DIMM,2GB RAM iMac with Intel Core 2 Duo (Penryn).,0,1364,36.99,"NAS, HDD, SSD, Memory stick and cards"
7,KIN0001-2,Mac memory Kingston 4GB (2x2GB) 667MHz DDR2 SO-DIMM,RAM 4GB (2x2GB) Mac mini and iMac (2006/07) MacBook Pro (2006/07/08).,0,1364,74.0,"NAS, HDD, SSD, Memory stick and cards"
8,APP0100,Apple Adapter Mini Display Port to VGA,Adapter Mini Display Port to VGA MacBook and MacBook Pro (unibody).,0,1325,35.0,Connectivity & Adapters
9,APP0101,Apple Mini DisplayPort to DVI Adapter,Adapter mini DisplayPort to DVI MacBook and MacBook Pro (unibody).,0,1325,35.0,Connectivity & Adapters
10,APP0111,Apple USB Ethernet Adapter Mac,USB to Ethernet adapter Mac.,0,1334,35.0,Routers
11,APP0156,45W MagSafe charger Apple MacBook Air,Charger MacBook Air MagSafe 45 W (MC747Z / A).,0,13005399,89.0,"Charging Dock, Chargers, Stands, Supports"
12,MOS0013,Adapter Moshi FireWire 400 to FireWire 800,FireWire 400 adapter cable FireWire 800.,0,1325,20.0,Connectivity & Adapters
13,MOS0021,Clearguard Moshi MacBook Pro and Air,Keyboard Protector MacBook Pro 13-inch Retina 15 inches 17 inches 13 inches 15 inches and 13-inch Air.,0,13835403,24.95,"Protection, Cases, Backpacks"
14,APP0206,"60W MagSafe charger Apple MacBook and MacBook Pro 13 """,Charger MacBook and 13 inch MacBook MagSafe 60 W (MC461Z / A).,1,13005399,89.0,"Charging Dock, Chargers, Stands, Supports"
15,HGD0007,"Henge Docks Docking Station MacBook Pro 13 """,Dock and support with multiple connections for MacBook Pro 13-inch.,0,12995397,69.99,"NAS, HDD, SSD, Memory stick and cards"
16,MUV0009,Muvit Back Clear Case iPhone 4 / 4S Transparent,Case iPhone 4 / 4S polycarbonate.,0,11865403,9.99,"Protection, Cases, Backpacks"
17,APP0234,Apple Dock Connector to VGA,Dock Connector to VGA IOS.,0,13955395,35.0,Connectivity & Adapters
18,APP0247,"85W MagSafe charger Apple MacBook Pro 15 ""/ 17""",Charger MacBook Pro MagSafe 85 W (MC556Z / A).,1,13005399,89.0,"Charging Dock, Chargers, Stands, Supports"
19,APP0280,Apple HDMI to HDMI Cable 1.8m,HMDI to HDMI Cable 1.8m.,0,1325,25.0,Connectivity & Adapters
20,OND0069,Adapter mini DVI to HDMI,Adapter mini DVI to HDMI for Mac and PC,0,1325,16.49,Connectivity & Adapters
21,SNN0007,Sonnet Tempo SATA PCIe Mac and PC E2P,PCIe Card with 2 Serial ATA ports Mac and PC.,0,1276,59.99,Apple iMac
22,KIN0025,Mac memory DIMM DDR3 2GB 1333MHz Kingston,2GB RAM Mac Pro (July 2010).,0,1364,29.99,"NAS, HDD, SSD, Memory stick and cards"
23,OND0073,Mini DisplayPort to HDMI Cable 18m,Cable with Mini DisplayPort to HDMI (audio + video),0,1325,22.99,Connectivity & Adapters
24,BEL0070,Music Receiver Belkin iPhone music receiver,Music Receiver iPhone iPad and iPod Touch for stereos via Bluetooth,0,11905404,49.99,Electronic Devises
25,LMP0007,KeyPad LMP Bluetooth Keypad Mac,expansion keypad Mac with bluetooth connection.,1,13855401,54.99,"Input devices, styluses"
26,BEL0072,Belkin PRO Series USB 2.0 Cable 18M,USB Cable USB type A and type B 18m in length for Mac and PC,1,1325,3.99,Connectivity & Adapters
27,APP0308,AV Cable Adapter Apple iPhone iPad and iPod white,IPhone iPad iPod adapter and AV cable.,0,1230,45.0,Cables
28,GRT0196,Griffin Survivor Extreme-Duty Case iPad 2 3 and 4 black,IPad 2 Case 3 and 4 for extreme ultra resistant.,0,12635403,64.99,"Protection, Cases, Backpacks"
29,MUV0023,Extreme Muvit iPhone and iPod BikeMount sleeve black Touch,IPhone and iPod support sleeve waterproof App Touch and bicycle.,0,11865403,35.9,"Protection, Cases, Backpacks"
30,JMO0026,Just Mobile Lazy Couch Support Mac and iPad,Mac and iPad small lift stand.,0,8696,19.95,"Charging Dock, Chargers, Stands, Supports"
31,OWC0007,OWC Data Doubler Optical Bay adapter Macbook / Macbook Pro,Tray SuperDrive replacement hard disk or SSD.,1,12755395,72.99,Connectivity & Adapters
32,KEN0028,Kensington ClickSafe lock Mac and PC,Mac and PC padlock with keys.,0,1325,54.99,Connectivity & Adapters
33,APP0343,Apple Thunderbolt Cable 2m White,Cable Mac Apple Thunderbolt 2m.,1,1325,45.0,Connectivity & Adapters
34,TWS0027,"Twelve South BookBook Case MacBook Air / Pro 13 ""brown",Funda Macbook Air / Pro 13 inch vintage leather with padded interior.,0,13835403,79.99,"Protection, Cases, Backpacks"
