disc_cat,brand,top_brand,top_category,category,correlation_coefficient_
High,8Mobility,NOT in TOP Brands,NOT in TOP Categories,Connectivity & Adapters,
High,Allocacoc,NOT in TOP Brands,NOT in TOP Categories,Connectivity & Adapters,0.5941862318885917
High,Apple,In TOP Brands,In TOP Categories,Apple MacBook,0.8655641901713751
High,Apple,In TOP Brands,In TOP Categories,Apple iMac,
High,Apple,In TOP Brands,In TOP Categories,Apple iPad,
High,Apple,In TOP Brands,In TOP Categories,Apple iPhone,-0.017071692386346735
High,Apple,In TOP Brands,In TOP Categories,Electronic Devises,-0.003524569771471415
High,Apple,In TOP Brands,In TOP Categories,"Protection, Cases, Backpacks",
High,Apple,In TOP Brands,In TOP Categories,"Sound, Headphones, Players",0.05368113158935024
High,Apple,In TOP Brands,NOT in TOP Categories,Cables,-0.07286282138196182
High,Apple,In TOP Brands,NOT in TOP Categories,"Charging Dock, Chargers, Stands, Supports",
High,Apple,In TOP Brands,NOT in TOP Categories,Connectivity & Adapters,0.23123796376233466
High,Apple,In TOP Brands,NOT in TOP Categories,"Input devices, styluses",
High,Apple,In TOP Brands,NOT in TOP Categories,Routers,
High,Be.ez,NOT in TOP Brands,In TOP Categories,"Protection, Cases, Backpacks",
High,Beats,NOT in TOP Brands,In TOP Categories,"Sound, Headphones, Players",
High,Belkin,NOT in TOP Brands,In TOP Categories,Electronic Devises,0.3108247815352589
High,Belkin,NOT in TOP Brands,In TOP Categories,"NAS, HDD, SSD, Memory stick and cards",
High,Belkin,NOT in TOP Brands,In TOP Categories,"Protection, Cases, Backpacks",0.03804084248086307
High,Belkin,NOT in TOP Brands,NOT in TOP Categories,Cables,
High,Belkin,NOT in TOP Brands,NOT in TOP Categories,"Charging Dock, Chargers, Stands, Supports",0.0711189764588919
High,Belkin,NOT in TOP Brands,NOT in TOP Categories,Connectivity & Adapters,
High,Belkin,NOT in TOP Brands,NOT in TOP Categories,"Input devices, styluses",
High,Belkin,NOT in TOP Brands,NOT in TOP Categories,"Power Banks, Batteries",0.09909240879604385
High,BenQ,NOT in TOP Brands,In TOP Categories,Monitors,
High,Bose,NOT in TOP Brands,In TOP Categories,"Sound, Headphones, Players",
High,Crucial,In TOP Brands,In TOP Categories,"NAS, HDD, SSD, Memory stick and cards",0.04063446638693558
High,Cygnett,NOT in TOP Brands,NOT in TOP Categories,Apple Watch Accessories,
High,D-Link,NOT in TOP Brands,In TOP Categories,Electronic Devises,-0.18204747394051196
High,D-Link,NOT in TOP Brands,In TOP Categories,Monitors,
High,D-Link,NOT in TOP Brands,NOT in TOP Categories,"Cameras, Security system",-0.21153860862336282
High,D-Link,NOT in TOP Brands,NOT in TOP Categories,Routers,0.04250414017538385
High,DJI,NOT in TOP Brands,In TOP Categories,Electronic Devises,
High,Dell,In TOP Brands,In TOP Categories,Monitors,0.858779879804232
High,Devia,NOT in TOP Brands,In TOP Categories,"Protection, Cases, Backpacks",
High,Dodocool,NOT in TOP Brands,In TOP Categories,Electronic Devises,
High,Drobo,NOT in TOP Brands,In TOP Categories,"NAS, HDD, SSD, Memory stick and cards",
High,Eizo,NOT in TOP Brands,In TOP Categories,Monitors,
High,Elago,NOT in TOP Brands,In TOP Categories,"Protection, Cases, Backpacks",
High,Elago,NOT in TOP Brands,In TOP Categories,"Sound, Headphones, Players",
High,Elago,NOT in TOP Brands,NOT in TOP Categories,Cables,
High,Elago,NOT in TOP Brands,NOT in TOP Categories,"Charging Dock, Chargers, Stands, Supports",
High,Elago,NOT in TOP Brands,NOT in TOP Categories,"Input devices, styluses",
High,Elgato,NOT in TOP Brands,In TOP Categories,Electronic Devises,-0.17624293290194024
High,FCM,NOT in TOP Brands,In TOP Categories,"NAS, HDD, SSD, Memory stick and cards",0.9056886540797375
High,G-Technology,NOT in TOP Brands,In TOP Categories,"NAS, HDD, SSD, Memory stick and cards",
High,GoPro,NOT in TOP Brands,In TOP Categories,Electronic Devises,
High,Griffin,NOT in TOP Brands,In TOP Categories,Electronic Devises,
High,Griffin,NOT in TOP Brands,In TOP Categories,"Protection, Cases, Backpacks",0.02260775171763092
High,Griffin,NOT in TOP Brands,NOT in TOP Categories,"Charging Dock, Chargers, Stands, Supports",-1.0000000000000007
High,Griffin,NOT in TOP Brands,NOT in TOP Categories,Connectivity & Adapters,
High,Griffin,NOT in TOP Brands,NOT in TOP Categories,"Power Banks, Batteries",
High,Hoco Nike,NOT in TOP Brands,NOT in TOP Categories,Apple Watch Accessories,
High,Hoco Nike,NOT in TOP Brands,NOT in TOP Categories,"Power Banks, Batteries",
High,IK Multimedia,NOT in TOP Brands,In TOP Categories,Electronic Devises,
High,Incase,NOT in TOP Brands,NOT in TOP Categories,Apple Watch Accessories,
High,JBL,NOT in TOP Brands,In TOP Categories,"Sound, Headphones, Players",0.04234887428290944
High,Jawbone,NOT in TOP Brands,In TOP Categories,Electronic Devises,-0.015545810394028104
High,Jaybird,NOT in TOP Brands,NOT in TOP Categories,"Input devices, styluses",
High,Jaybird,NOT in TOP Brands,NOT in TOP Categories,"Power Banks, Batteries",0.689202437604511
High,Just Mobile,NOT in TOP Brands,In TOP Categories,"Protection, Cases, Backpacks",
High,Kanex,NOT in TOP Brands,NOT in TOP Categories,Cables,
High,Kanex,NOT in TOP Brands,NOT in TOP Categories,"Charging Dock, Chargers, Stands, Supports",
High,Kingston,NOT in TOP Brands,In TOP Categories,"NAS, HDD, SSD, Memory stick and cards",0.12315369878072825
High,Kukaclip,NOT in TOP Brands,In TOP Categories,"Protection, Cases, Backpacks",
High,LG,In TOP Brands,In TOP Categories,Monitors,
High,LG,In TOP Brands,NOT in TOP Categories,"Repair service, Install kit, Extended warranty",
High,LMP,NOT in TOP Brands,NOT in TOP Categories,Connectivity & Adapters,
High,LaCie,In TOP Brands,In TOP Categories,"NAS, HDD, SSD, Memory stick and cards",0.07945543973384256
High,Lexar,NOT in TOP Brands,In TOP Categories,"NAS, HDD, SSD, Memory stick and cards",-0.12257334427460985
High,Lifeproof,NOT in TOP Brands,In TOP Categories,"Protection, Cases, Backpacks",-0.002132793617798236
High,Lifeproof,NOT in TOP Brands,NOT in TOP Categories,"Charging Dock, Chargers, Stands, Supports",
High,Lifeproof,NOT in TOP Brands,NOT in TOP Categories,Connectivity & Adapters,0.2858970414361869
High,Logitech,NOT in TOP Brands,In TOP Categories,"Protection, Cases, Backpacks",
High,Logitech,NOT in TOP Brands,In TOP Categories,"Sound, Headphones, Players",
High,Logitech,NOT in TOP Brands,NOT in TOP Categories,"Input devices, styluses",
High,Macally,NOT in TOP Brands,In TOP Categories,"NAS, HDD, SSD, Memory stick and cards",-0.03295213120255705
High,Macally,NOT in TOP Brands,In TOP Categories,"Protection, Cases, Backpacks",-0.14826206874554054
High,Macally,NOT in TOP Brands,NOT in TOP Categories,Connectivity & Adapters,
